,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
128,2020-08-13T00:00:00.000,Hampton,80+,27,3,1
129,2020-08-13T00:00:00.000,Hampton,Missing,28,0,0
130,2020-08-13T00:00:00.000,Henrico,0-9,151,4,0
131,2020-08-13T00:00:00.000,Henrico,10-19,311,5,0
132,2020-08-13T00:00:00.000,Henrico,20-29,669,20,0
133,2020-08-13T00:00:00.000,Henrico,30-39,720,21,0
134,2020-08-13T00:00:00.000,Henrico,40-49,593,39,2
135,2020-08-13T00:00:00.000,Henrico,50-59,512,59,11
136,2020-08-13T00:00:00.000,Henrico,60-69,378,60,37
137,2020-08-13T00:00:00.000,Henrico,70-79,260,58,46
138,2020-08-13T00:00:00.000,Henrico,80+,361,80,90
139,2020-08-13T00:00:00.000,Henrico,Missing,44,1,1
140,2020-08-13T00:00:00.000,Lenowisco,0-9,21,0,0
141,2020-08-13T00:00:00.000,Lenowisco,10-19,48,0,0
142,2020-08-13T00:00:00.000,Lenowisco,20-29,58,0,0
143,2020-08-13T00:00:00.000,Lenowisco,30-39,75,3,1
144,2020-08-13T00:00:00.000,Lenowisco,40-49,64,4,0
145,2020-08-13T00:00:00.000,Lenowisco,50-59,70,7,1
146,2020-08-13T00:00:00.000,Lenowisco,60-69,67,9,2
147,2020-08-13T00:00:00.000,Lenowisco,70-79,49,15,4
148,2020-08-13T00:00:00.000,Lenowisco,80+,17,5,0
149,2020-08-13T00:00:00.000,Lenowisco,Missing,0,0,0
150,2020-08-13T00:00:00.000,Lord Fairfax,0-9,82,2,0
151,2020-08-13T00:00:00.000,Lord Fairfax,10-19,193,3,0
152,2020-08-13T00:00:00.000,Lord Fairfax,20-29,427,7,0
153,2020-08-13T00:00:00.000,Lord Fairfax,30-39,418,13,1
154,2020-08-13T00:00:00.000,Lord Fairfax,40-49,401,20,1
155,2020-08-13T00:00:00.000,Lord Fairfax,50-59,420,35,3
156,2020-08-13T00:00:00.000,Lord Fairfax,60-69,271,54,14
157,2020-08-13T00:00:00.000,Lord Fairfax,70-79,183,51,20
158,2020-08-13T00:00:00.000,Lord Fairfax,80+,208,45,51
159,2020-08-13T00:00:00.000,Lord Fairfax,Missing,2,0,0
160,2020-08-13T00:00:00.000,Loudoun,0-9,205,4,0
161,2020-08-13T00:00:00.000,Loudoun,10-19,757,1,0
162,2020-08-13T00:00:00.000,Loudoun,20-29,916,11,0
163,2020-08-13T00:00:00.000,Loudoun,30-39,924,33,0
164,2020-08-13T00:00:00.000,Loudoun,40-49,1018,65,1
165,2020-08-13T00:00:00.000,Loudoun,50-59,805,69,4
166,2020-08-13T00:00:00.000,Loudoun,60-69,315,59,9
167,2020-08-13T00:00:00.000,Loudoun,70-79,174,56,19
168,2020-08-13T00:00:00.000,Loudoun,80+,223,58,81
169,2020-08-13T00:00:00.000,Loudoun,Missing,66,0,1
170,2020-08-13T00:00:00.000,Mount Rogers,0-9,60,1,0
171,2020-08-13T00:00:00.000,Mount Rogers,10-19,119,0,0
172,2020-08-13T00:00:00.000,Mount Rogers,20-29,237,0,0
173,2020-08-13T00:00:00.000,Mount Rogers,30-39,219,8,0
174,2020-08-13T00:00:00.000,Mount Rogers,40-49,214,6,2
175,2020-08-13T00:00:00.000,Mount Rogers,50-59,220,15,2
176,2020-08-13T00:00:00.000,Mount Rogers,60-69,182,24,2
177,2020-08-13T00:00:00.000,Mount Rogers,70-79,130,42,18
178,2020-08-13T00:00:00.000,Mount Rogers,80+,100,37,32
179,2020-08-13T00:00:00.000,Mount Rogers,Missing,0,0,0
180,2020-08-13T00:00:00.000,New River,0-9,17,0,0
181,2020-08-13T00:00:00.000,New River,10-19,68,0,0
182,2020-08-13T00:00:00.000,New River,20-29,182,0,0
183,2020-08-13T00:00:00.000,New River,30-39,90,2,0
184,2020-08-13T00:00:00.000,New River,40-49,73,2,0
185,2020-08-13T00:00:00.000,New River,50-59,72,6,0
186,2020-08-13T00:00:00.000,New River,60-69,39,6,1
187,2020-08-13T00:00:00.000,New River,70-79,36,11,4
188,2020-08-13T00:00:00.000,New River,80+,16,5,3
189,2020-08-13T00:00:00.000,New River,Missing,6,0,0
190,2020-08-13T00:00:00.000,Norfolk,0-9,128,2,0
191,2020-08-13T00:00:00.000,Norfolk,10-19,241,1,0
192,2020-08-13T00:00:00.000,Norfolk,20-29,1271,16,0
193,2020-08-13T00:00:00.000,Norfolk,30-39,700,24,1
194,2020-08-13T00:00:00.000,Norfolk,40-49,457,23,2
195,2020-08-13T00:00:00.000,Norfolk,50-59,425,38,4
196,2020-08-13T00:00:00.000,Norfolk,60-69,364,52,6
197,2020-08-13T00:00:00.000,Norfolk,70-79,150,39,10
198,2020-08-13T00:00:00.000,Norfolk,80+,85,19,10
199,2020-08-13T00:00:00.000,Norfolk,Missing,37,1,0
200,2020-08-13T00:00:00.000,Peninsula,0-9,115,0,0
