Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/4/2020,Peninsula,Missing,0,0,0
5/4/2020,Henrico,70-79,142,31,29
5/4/2020,Western Tidewater,20-29,28,0,0
5/4/2020,Peninsula,0-9,5,0,0
5/4/2020,Loudoun,40-49,214,14,0
5/4/2020,Pittsylvania-Danville,30-39,6,0,0
5/4/2020,Loudoun,20-29,136,2,0
5/4/2020,Crater,60-69,47,19,8
5/4/2020,Loudoun,80+,90,21,14
5/4/2020,Arlington,80+,121,32,24
5/4/2020,Virginia Beach,10-19,9,0,0
5/4/2020,Mount Rogers,80+,4,4,3
5/4/2020,Eastern Shore,80+,27,7,2
5/4/2020,Crater,10-19,8,0,0
5/4/2020,Lenowisco,30-39,3,1,1
5/4/2020,Norfolk,Missing,0,0,0
5/4/2020,Henrico,Missing,0,0,0
5/4/2020,New River,40-49,10,0,0
5/4/2020,Central Virginia,0-9,3,0,0
5/4/2020,New River,70-79,7,4,1
5/4/2020,Loudoun,0-9,20,0,0
5/4/2020,Central Virginia,70-79,12,2,0
5/4/2020,Southside,0-9,0,0,0
5/4/2020,Three Rivers,40-49,59,4,1
5/4/2020,Chickahominy,30-39,31,0,0
5/4/2020,Central Shenandoah,60-69,117,12,3
5/4/2020,Western Tidewater,60-69,80,10,3
5/4/2020,Cumberland Plateau,30-39,5,0,0
5/4/2020,Portsmouth,10-19,1,0,0
5/4/2020,Chesterfield,Missing,0,0,0
5/4/2020,Alexandria,40-49,176,14,0
5/4/2020,Thomas Jefferson,70-79,45,14,1
5/4/2020,Three Rivers,30-39,50,2,0
5/4/2020,Western Tidewater,70-79,58,14,5
5/4/2020,Arlington,60-69,160,33,9
5/4/2020,Cumberland Plateau,10-19,11,0,0
5/4/2020,West Piedmont,30-39,0,0,0
5/4/2020,Peninsula,10-19,5,1,0
5/4/2020,Lenowisco,10-19,2,0,0
