Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
5/3/2020,Eastern Shore,0-9,5,0,0
5/3/2020,Thomas Jefferson,60-69,45,11,2
5/3/2020,Pittsylvania-Danville,70-79,9,6,0
5/3/2020,Chesterfield,80+,78,8,14
5/3/2020,Richmond,0-9,3,0,0
5/3/2020,Chesapeake,80+,26,9,5
5/3/2020,Peninsula,40-49,38,2,1
5/3/2020,Henrico,0-9,21,0,0
5/3/2020,Lenowisco,80+,0,0,0
5/3/2020,Piedmont,60-69,39,6,0
5/3/2020,West Piedmont,0-9,0,0,0
5/3/2020,Rappahannock Rapidan,70-79,13,1,1
5/3/2020,Central Shenandoah,70-79,61,11,8
5/3/2020,Chesapeake,30-39,44,3,0
5/3/2020,Chickahominy,0-9,1,0,0
5/3/2020,Prince William,0-9,60,2,0
5/3/2020,Eastern Shore,50-59,125,4,3
5/3/2020,Mount Rogers,50-59,19,1,0
5/3/2020,Loudoun,10-19,24,0,0
5/3/2020,Southside,80+,37,4,5
5/3/2020,Central Virginia,80+,4,1,0
5/3/2020,Rappahannock,Missing,0,0,0
5/3/2020,Rappahannock Rapidan,30-39,86,7,0
5/3/2020,New River,50-59,14,2,0
5/3/2020,Richmond,80+,20,8,7
5/3/2020,Mount Rogers,20-29,12,0,0
5/3/2020,Eastern Shore,20-29,64,1,0
5/3/2020,Hampton,10-19,6,0,0
5/3/2020,Portsmouth,0-9,1,1,0
5/3/2020,Crater,70-79,21,11,4
5/3/2020,Chesterfield,40-49,123,5,2
5/3/2020,Alexandria,Missing,1,0,0
5/3/2020,Southside,30-39,12,0,0
5/3/2020,Prince William,Missing,0,0,0
5/3/2020,Hampton,60-69,21,9,1
5/3/2020,Fairfax,20-29,579,31,1
5/3/2020,Thomas Jefferson,0-9,3,1,0
5/3/2020,Lenowisco,40-49,4,1,0
5/3/2020,Central Virginia,10-19,9,0,0
5/3/2020,Lenowisco,70-79,4,3,0
5/3/2020,Henrico,10-19,10,0,0
5/3/2020,Mount Rogers,30-39,18,3,0
5/3/2020,Eastern Shore,30-39,95,2,0
5/3/2020,Chesterfield,0-9,2,0,0
5/3/2020,Central Shenandoah,10-19,22,0,0
5/3/2020,Crater,0-9,0,0,0
5/3/2020,Fairfax,70-79,272,100,26
5/3/2020,Rappahannock,80+,9,7,2
5/3/2020,Alexandria,10-19,46,0,0
5/3/2020,Portsmouth,40-49,28,3,0
5/3/2020,Three Rivers,50-59,32,2,0
5/3/2020,Alleghany,Missing,0,0,0
5/3/2020,Alexandria,30-39,223,13,0
5/3/2020,Southside,Missing,0,0,0
5/3/2020,Portsmouth,60-69,24,8,4
5/3/2020,Roanoke,30-39,8,0,0
5/3/2020,Three Rivers,60-69,36,6,0
5/3/2020,Fairfax,50-59,781,129,11
5/3/2020,Portsmouth,50-59,35,9,1
5/3/2020,Chickahominy,80+,37,18,13
5/3/2020,Rappahannock Rapidan,50-59,51,5,0
5/3/2020,Fairfax,80+,354,147,122
5/3/2020,Hampton,Missing,0,0,0
5/3/2020,Cumberland Plateau,80+,0,0,0
5/3/2020,Alleghany,50-59,31,4,0
5/3/2020,Prince William,40-49,533,47,2
5/3/2020,Fairfax,Missing,10,1,0
5/3/2020,Virginia Beach,40-49,63,12,1
5/3/2020,Richmond,Missing,0,0,0
5/3/2020,Norfolk,40-49,43,7,0
5/3/2020,Piedmont,80+,8,1,1
5/3/2020,Virginia Beach,60-69,70,13,1
5/3/2020,West Piedmont,40-49,9,0,0
5/3/2020,Arlington,10-19,25,3,0
5/3/2020,Lenowisco,0-9,4,0,0
5/3/2020,Pittsylvania-Danville,50-59,10,5,0
5/3/2020,Virginia Beach,50-59,66,12,0
5/3/2020,Chesapeake,Missing,0,0,0
5/3/2020,Central Shenandoah,80+,61,7,7
5/3/2020,Thomas Jefferson,40-49,32,4,0
5/3/2020,Rappahannock Rapidan,60-69,33,6,0
5/3/2020,Norfolk,30-39,46,4,0
5/3/2020,Rappahannock Rapidan,Missing,0,0,0
5/3/2020,Lord Fairfax,80+,34,7,1
5/3/2020,Three Rivers,10-19,4,0,0
5/3/2020,Piedmont,40-49,45,1,0
5/3/2020,Norfolk,80+,7,5,2
5/3/2020,Peninsula,20-29,29,1,0
5/3/2020,Norfolk,50-59,38,7,0
5/3/2020,Thomas Jefferson,50-59,47,9,1
5/3/2020,Richmond,70-79,32,15,5
5/3/2020,Chesterfield,70-79,55,9,5
5/3/2020,Piedmont,30-39,45,0,0
5/3/2020,Prince William,30-39,467,28,1
5/3/2020,Alleghany,20-29,14,1,0
5/3/2020,Alleghany,0-9,0,0,0
5/3/2020,Mount Rogers,40-49,11,0,0
5/3/2020,Eastern Shore,40-49,103,3,1
5/3/2020,Central Virginia,60-69,26,2,1
5/3/2020,Richmond,10-19,8,1,0
5/3/2020,Pittsylvania-Danville,60-69,7,4,1
5/3/2020,Pittsylvania-Danville,Missing,0,0,0
5/3/2020,Chesterfield,60-69,82,13,8
5/3/2020,Southside,10-19,3,0,0
5/3/2020,New River,80+,4,2,0
5/3/2020,Central Virginia,50-59,26,1,0
5/3/2020,Hampton,70-79,8,5,0
5/3/2020,Pittsylvania-Danville,10-19,1,0,0
5/3/2020,Richmond,60-69,68,20,4
5/3/2020,Crater,Missing,0,0,0
5/3/2020,Arlington,50-59,189,32,1
5/3/2020,Piedmont,70-79,21,10,2
5/3/2020,Alexandria,60-69,81,18,1
5/3/2020,Portsmouth,30-39,47,3,0
5/3/2020,Lenowisco,20-29,6,0,0
5/3/2020,Central Virginia,30-39,25,1,0
5/3/2020,Norfolk,10-19,7,0,0
5/3/2020,New River,10-19,3,0,0
5/3/2020,Central Virginia,20-29,23,1,0
5/3/2020,Rappahannock,50-59,96,19,1
5/3/2020,Rappahannock,60-69,69,28,3
5/3/2020,Piedmont,20-29,37,0,0
5/3/2020,New River,60-69,14,2,0
5/3/2020,Roanoke,40-49,7,0,0
5/3/2020,Three Rivers,20-29,29,0,0
5/3/2020,Rappahannock,40-49,119,16,1
5/3/2020,Portsmouth,80+,13,4,1
5/3/2020,Central Shenandoah,Missing,0,0,0
5/3/2020,Eastern Shore,70-79,25,4,1
5/3/2020,Mount Rogers,70-79,10,6,1
5/3/2020,Cumberland Plateau,70-79,2,0,0
5/3/2020,Piedmont,10-19,3,0,0
5/3/2020,Southside,20-29,17,2,0
5/3/2020,Chesterfield,50-59,114,14,1
5/3/2020,Rappahannock Rapidan,20-29,68,1,0
5/3/2020,Cumberland Plateau,60-69,2,1,0
5/3/2020,Roanoke,70-79,6,1,0
5/3/2020,Central Shenandoah,20-29,124,1,0
5/3/2020,Pittsylvania-Danville,80+,3,2,1
5/3/2020,Virginia Beach,80+,48,17,9
5/3/2020,Central Shenandoah,50-59,164,11,0
5/3/2020,Lenowisco,Missing,0,0,0
5/3/2020,Fairfax,30-39,808,69,2
5/3/2020,Lenowisco,60-69,8,6,1
5/3/2020,Loudoun,30-39,132,8,0
5/3/2020,West Piedmont,80+,3,1,0
5/3/2020,Roanoke,80+,33,2,0
5/3/2020,Fairfax,40-49,864,108,2
5/3/2020,Thomas Jefferson,80+,55,19,9
5/3/2020,Roanoke,20-29,9,0,0
5/3/2020,Henrico,60-69,139,22,17
5/3/2020,Lord Fairfax,40-49,76,2,0
5/3/2020,Western Tidewater,Missing,0,0,0
5/3/2020,Chickahominy,60-69,34,10,2
5/3/2020,Chesapeake,20-29,25,3,0
5/3/2020,Three Rivers,Missing,0,0,0
5/3/2020,Lenowisco,10-19,2,0,0
5/3/2020,Chesapeake,0-9,2,1,0
5/3/2020,Peninsula,50-59,67,14,2
5/3/2020,Cumberland Plateau,Missing,0,0,0
5/3/2020,Peninsula,60-69,84,23,3
5/3/2020,Lord Fairfax,30-39,70,6,0
5/3/2020,Virginia Beach,Missing,0,0,0
5/3/2020,Arlington,40-49,173,25,2
5/3/2020,West Piedmont,10-19,2,0,0
5/3/2020,Chickahominy,70-79,24,9,3
5/3/2020,Pittsylvania-Danville,20-29,7,0,0
5/3/2020,Loudoun,50-59,191,17,1
5/3/2020,Richmond,30-39,59,4,0
5/3/2020,Thomas Jefferson,Missing,0,0,0
5/3/2020,Rappahannock Rapidan,80+,10,7,4
5/3/2020,Lord Fairfax,Missing,0,0,0
5/3/2020,Cumberland Plateau,50-59,3,1,0
5/3/2020,Loudoun,Missing,0,0,0
5/3/2020,Southside,50-59,19,3,0
5/3/2020,Chesterfield,20-29,65,3,0
5/3/2020,Norfolk,70-79,12,9,1
5/3/2020,Alleghany,10-19,1,0,0
5/3/2020,Crater,80+,7,3,0
5/3/2020,Portsmouth,Missing,0,0,0
5/3/2020,Western Tidewater,10-19,1,0,0
5/3/2020,Chesterfield,10-19,44,0,0
5/3/2020,Southside,60-69,18,6,1
5/3/2020,Norfolk,0-9,5,0,0
5/3/2020,Cumberland Plateau,40-49,4,0,0
5/3/2020,Eastern Shore,10-19,13,0,0
5/3/2020,Mount Rogers,10-19,5,0,0
5/3/2020,Rappahannock Rapidan,0-9,11,1,0
5/3/2020,Three Rivers,0-9,2,0,0
5/3/2020,Henrico,40-49,123,12,0
5/3/2020,Alexandria,50-59,121,23,7
5/3/2020,Arlington,0-9,8,1,0
5/3/2020,Chickahominy,Missing,0,0,0
5/3/2020,New River,20-29,17,0,0
5/3/2020,Virginia Beach,20-29,44,1,0
5/3/2020,Chesapeake,50-59,59,12,1
5/3/2020,Alleghany,80+,19,4,2
5/3/2020,Fairfax,10-19,130,3,0
5/3/2020,Chesapeake,60-69,44,14,3
5/3/2020,West Piedmont,Missing,0,0,0
5/3/2020,Peninsula,80+,30,20,9
5/3/2020,Crater,40-49,35,8,1
5/3/2020,Chesapeake,40-49,50,8,0
5/3/2020,Thomas Jefferson,20-29,38,0,0
5/3/2020,Lord Fairfax,20-29,75,0,0
5/3/2020,Norfolk,20-29,37,0,0
5/3/2020,Arlington,30-39,185,23,0
5/3/2020,West Piedmont,60-69,12,1,0
5/3/2020,Henrico,50-59,136,17,4
5/3/2020,West Piedmont,50-59,10,1,0
5/3/2020,Cumberland Plateau,20-29,0,0,0
5/3/2020,Alexandria,70-79,52,22,7
5/3/2020,Portsmouth,20-29,22,2,0
5/3/2020,Western Tidewater,30-39,32,1,0
5/3/2020,Central Shenandoah,0-9,13,0,0
5/3/2020,Henrico,80+,214,47,55
5/3/2020,Alexandria,0-9,37,1,0
5/3/2020,Pittsylvania-Danville,40-49,8,3,0
5/3/2020,Henrico,20-29,76,4,0
5/3/2020,Roanoke,60-69,7,1,0
5/3/2020,Peninsula,30-39,40,4,0
5/3/2020,Alleghany,60-69,20,4,0
5/3/2020,Prince William,70-79,95,29,8
5/3/2020,Norfolk,60-69,26,13,1
5/3/2020,Southside,40-49,13,3,0
5/3/2020,Chesterfield,30-39,110,1,0
5/3/2020,Loudoun,70-79,53,17,2
5/3/2020,Central Virginia,40-49,18,0,0
5/3/2020,New River,Missing,0,0,0
5/3/2020,Chickahominy,20-29,29,0,0
5/3/2020,New River,0-9,2,0,0
5/3/2020,Cumberland Plateau,0-9,0,0,0
5/3/2020,Three Rivers,70-79,16,5,1
5/3/2020,Rappahannock Rapidan,40-49,83,2,0
5/3/2020,Hampton,0-9,3,0,0
5/3/2020,Piedmont,50-59,47,5,0
5/3/2020,Rappahannock,20-29,102,5,0
5/3/2020,Chickahominy,40-49,44,5,1
5/3/2020,Three Rivers,80+,19,4,0
5/3/2020,Rappahannock,30-39,115,7,0
5/3/2020,Lord Fairfax,60-69,77,14,2
5/3/2020,Western Tidewater,0-9,3,0,0
5/3/2020,Rappahannock,70-79,21,13,4
5/3/2020,Prince William,80+,54,18,8
5/3/2020,Hampton,80+,3,2,0
5/3/2020,Alexandria,80+,44,16,10
5/3/2020,Mount Rogers,60-69,12,1,0
5/3/2020,Eastern Shore,60-69,77,5,0
5/3/2020,Lord Fairfax,70-79,34,8,1
5/3/2020,New River,30-39,4,0,0
5/3/2020,Chesapeake,10-19,4,0,0
5/3/2020,Hampton,40-49,14,2,0
5/3/2020,Peninsula,Missing,0,0,0
5/3/2020,Henrico,70-79,140,31,29
5/3/2020,Western Tidewater,20-29,28,0,0
5/3/2020,Peninsula,0-9,5,0,0
5/3/2020,Loudoun,40-49,210,13,0
5/3/2020,Pittsylvania-Danville,30-39,5,0,0
5/3/2020,Loudoun,20-29,130,2,0
5/3/2020,Crater,60-69,44,19,8
5/3/2020,Loudoun,80+,89,21,12
5/3/2020,Arlington,80+,120,32,24
5/3/2020,Virginia Beach,10-19,9,0,0
5/3/2020,Mount Rogers,80+,4,4,3
5/3/2020,Eastern Shore,80+,27,6,2
5/3/2020,Crater,10-19,4,0,0
5/3/2020,Lenowisco,30-39,3,1,1
5/3/2020,Norfolk,Missing,0,0,0
5/3/2020,Henrico,Missing,0,0,0
5/3/2020,New River,40-49,10,0,0
5/3/2020,Central Virginia,0-9,3,0,0
5/3/2020,New River,70-79,7,4,1
5/3/2020,Loudoun,0-9,19,0,0
5/3/2020,Central Virginia,70-79,12,2,0
5/3/2020,Southside,0-9,0,0,0
5/3/2020,Three Rivers,40-49,56,3,1
5/3/2020,Chickahominy,30-39,30,0,0
5/3/2020,Central Shenandoah,60-69,117,12,3
5/3/2020,Western Tidewater,60-69,80,10,3
5/3/2020,Cumberland Plateau,30-39,5,0,0
5/3/2020,Portsmouth,10-19,1,0,0
5/3/2020,Chesterfield,Missing,0,0,0
5/3/2020,Alexandria,40-49,172,14,0
5/3/2020,Thomas Jefferson,70-79,45,14,1
5/3/2020,Three Rivers,30-39,49,2,0
5/3/2020,Western Tidewater,70-79,58,14,5
5/3/2020,Arlington,60-69,155,33,8
5/3/2020,Cumberland Plateau,10-19,11,0,0
5/3/2020,West Piedmont,30-39,0,0,0
5/3/2020,Peninsula,10-19,3,1,0
