Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
6/24/2020,Northwest,Probable,9,0,0
6/24/2020,Southwest,Confirmed,113,2,0
6/24/2020,Southwest,Probable,1,0,0
6/23/2020,Central,Confirmed,131,7,0
6/23/2020,Central,Probable,1,0,0
6/23/2020,Eastern,Confirmed,134,7,2
6/23/2020,Eastern,Probable,2,0,0
6/23/2020,Northern,Confirmed,198,10,2
6/23/2020,Northern,Probable,13,0,0
6/23/2020,Northwest,Confirmed,76,3,1
6/23/2020,Northwest,Probable,8,0,0
6/23/2020,Southwest,Confirmed,83,4,1
6/23/2020,Southwest,Probable,3,0,0
6/22/2020,Central,Confirmed,109,5,0
6/22/2020,Eastern,Confirmed,128,7,1
6/22/2020,Eastern,Probable,3,0,0
6/22/2020,Northern,Confirmed,258,9,0
6/22/2020,Northern,Probable,5,0,0
6/22/2020,Northwest,Confirmed,88,8,1
6/22/2020,Northwest,Probable,11,0,0
6/22/2020,Southwest,Confirmed,98,3,0
6/22/2020,Southwest,Probable,2,0,0
6/21/2020,Central,Confirmed,69,7,0
6/21/2020,Central,Probable,1,0,0
6/21/2020,Eastern,Confirmed,72,5,0
6/21/2020,Eastern,Probable,5,0,0
6/21/2020,Northern,Confirmed,159,6,3
6/21/2020,Northern,Probable,4,0,0
6/21/2020,Northwest,Confirmed,61,6,4
6/21/2020,Northwest,Probable,4,0,0
6/21/2020,Southwest,Confirmed,64,2,1
6/20/2020,Central,Confirmed,60,4,0
6/20/2020,Eastern,Confirmed,63,4,2
6/20/2020,Eastern,Probable,4,0,0
6/20/2020,Northern,Confirmed,169,6,3
6/20/2020,Northern,Probable,3,0,0
6/20/2020,Northwest,Confirmed,59,3,2
6/20/2020,Northwest,Probable,5,1,0
6/20/2020,Southwest,Confirmed,68,0,2
6/20/2020,Southwest,Probable,1,0,0
6/19/2020,Central,Confirmed,85,2,1
6/19/2020,Eastern,Confirmed,81,9,1
6/19/2020,Eastern,Probable,1,0,0
6/19/2020,Northern,Confirmed,157,12,4
6/19/2020,Northern,Probable,1,0,0
6/19/2020,Northwest,Confirmed,79,7,1
6/19/2020,Northwest,Probable,7,0,0
6/19/2020,Southwest,Confirmed,58,3,0
6/19/2020,Southwest,Probable,2,0,0
6/18/2020,Central,Confirmed,136,3,2
6/18/2020,Eastern,Confirmed,100,4,0
6/18/2020,Eastern,Probable,4,0,0
6/18/2020,Northern,Confirmed,150,11,3
6/18/2020,Northern,Probable,5,0,0
6/18/2020,Northwest,Confirmed,97,9,0
6/18/2020,Northwest,Probable,4,0,0
6/18/2020,Southwest,Confirmed,92,6,4
6/18/2020,Southwest,Probable,1,0,0
6/17/2020,Central,Confirmed,130,10,1
6/17/2020,Eastern,Confirmed,93,7,3
6/17/2020,Eastern,Probable,1,0,0
6/17/2020,Northern,Confirmed,176,6,2
6/17/2020,Northern,Probable,2,0,1
6/17/2020,Northwest,Confirmed,62,4,1
6/17/2020,Northwest,Probable,6,0,0
6/17/2020,Southwest,Confirmed,80,1,0
6/17/2020,Southwest,Probable,3,0,0
6/16/2020,Central,Confirmed,117,4,1
6/16/2020,Eastern,Confirmed,71,2,0
6/16/2020,Eastern,Probable,2,0,0
6/16/2020,Northern,Confirmed,166,7,2
6/16/2020,Northern,Probable,2,0,0
6/16/2020,Northwest,Confirmed,55,2,1
6/16/2020,Northwest,Probable,4,0,0
6/16/2020,Southwest,Confirmed,60,6,0
6/15/2020,Central,Confirmed,137,4,1
6/15/2020,Central,Probable,3,0,0
6/15/2020,Eastern,Confirmed,99,4,1
6/15/2020,Eastern,Probable,4,0,0
6/15/2020,Northern,Confirmed,200,10,3
6/15/2020,Northern,Probable,5,0,0
6/15/2020,Northwest,Confirmed,79,3,1
6/15/2020,Northwest,Probable,10,0,0
6/15/2020,Southwest,Confirmed,45,1,0
6/15/2020,Southwest,Probable,1,0,0
6/14/2020,Central,Confirmed,57,7,3
6/14/2020,Central,Probable,1,0,0
6/14/2020,Eastern,Confirmed,40,4,0
6/14/2020,Northern,Confirmed,112,13,3
6/14/2020,Northern,Probable,3,0,0
6/14/2020,Northwest,Confirmed,50,6,2
6/14/2020,Northwest,Probable,2,0,0
6/14/2020,Southwest,Confirmed,34,1,0
6/14/2020,Southwest,Probable,1,0,0
6/13/2020,Central,Confirmed,90,5,2
6/13/2020,Central,Probable,1,0,0
6/13/2020,Eastern,Confirmed,56,5,1
6/13/2020,Northern,Confirmed,92,8,3
6/13/2020,Northern,Probable,6,0,0
6/13/2020,Northwest,Confirmed,47,6,3
6/13/2020,Northwest,Probable,9,0,0
6/13/2020,Southwest,Confirmed,39,1,0
6/13/2020,Southwest,Probable,2,0,0
6/12/2020,Central,Confirmed,121,14,0
6/12/2020,Eastern,Confirmed,64,8,0
6/12/2020,Eastern,Probable,1,0,0
6/12/2020,Northern,Confirmed,178,18,2
6/12/2020,Northern,Probable,4,0,0
6/12/2020,Northwest,Confirmed,72,4,1
6/12/2020,Northwest,Probable,4,0,0
6/12/2020,Southwest,Confirmed,38,1,1
6/12/2020,Southwest,Probable,1,0,0
6/11/2020,Central,Confirmed,124,8,4
6/11/2020,Eastern,Confirmed,59,5,0
6/11/2020,Eastern,Probable,3,0,0
6/11/2020,Northern,Confirmed,146,5,4
6/11/2020,Northern,Probable,1,0,0
6/11/2020,Northwest,Confirmed,56,5,1
6/11/2020,Northwest,Probable,4,1,0
6/11/2020,Southwest,Confirmed,36,2,1
6/11/2020,Southwest,Probable,2,0,0
6/10/2020,Central,Confirmed,190,8,2
6/10/2020,Eastern,Confirmed,81,4,1
6/10/2020,Eastern,Probable,4,0,0
6/10/2020,Northern,Confirmed,195,12,2
6/10/2020,Northern,Probable,4,0,0
6/10/2020,Northwest,Confirmed,61,10,3
6/10/2020,Northwest,Probable,8,1,0
6/10/2020,Southwest,Confirmed,47,2,1
6/10/2020,Southwest,Probable,0,0,1
6/9/2020,Central,Confirmed,173,9,3
6/9/2020,Central,Probable,1,0,0
6/9/2020,Eastern,Confirmed,78,7,2
6/9/2020,Northern,Confirmed,202,8,6
6/9/2020,Northern,Probable,5,1,0
6/9/2020,Northwest,Confirmed,71,7,2
6/9/2020,Northwest,Probable,9,0,0
6/9/2020,Southwest,Confirmed,48,4,1
6/9/2020,Southwest,Probable,1,0,0
6/8/2020,Central,Confirmed,131,6,3
6/8/2020,Central,Probable,1,0,0
6/8/2020,Eastern,Confirmed,71,4,1
6/8/2020,Eastern,Probable,1,0,0
6/8/2020,Northern,Confirmed,198,12,5
6/8/2020,Northern,Probable,5,0,0
6/8/2020,Northwest,Confirmed,100,4,1
6/8/2020,Northwest,Probable,12,0,1
6/8/2020,Southwest,Confirmed,40,4,2
6/7/2020,Central,Confirmed,51,4,3
6/7/2020,Eastern,Confirmed,42,4,2
6/7/2020,Eastern,Probable,2,0,0
6/7/2020,Northern,Confirmed,119,19,5
6/7/2020,Northern,Probable,4,1,0
6/7/2020,Northwest,Confirmed,53,3,3
6/7/2020,Northwest,Probable,11,0,0
6/7/2020,Southwest,Confirmed,23,3,2
6/7/2020,Southwest,Probable,1,1,0
6/6/2020,Central,Confirmed,100,4,2
6/6/2020,Eastern,Confirmed,51,7,0
6/6/2020,Eastern,Probable,1,0,0
6/6/2020,Northern,Confirmed,132,21,6
6/6/2020,Northern,Probable,5,0,0
6/6/2020,Northwest,Confirmed,68,6,1
6/6/2020,Northwest,Probable,12,0,0
6/6/2020,Southwest,Confirmed,36,4,0
6/5/2020,Central,Confirmed,138,8,2
6/5/2020,Eastern,Confirmed,72,3,1
6/5/2020,Eastern,Probable,5,0,0
6/5/2020,Northern,Confirmed,223,23,5
6/5/2020,Northern,Probable,5,0,0
6/5/2020,Northwest,Confirmed,84,4,1
6/5/2020,Northwest,Probable,20,0,0
6/5/2020,Southwest,Confirmed,50,2,2
6/5/2020,Southwest,Probable,1,0,0
6/4/2020,Central,Confirmed,157,14,3
6/4/2020,Eastern,Confirmed,48,9,2
6/4/2020,Eastern,Probable,3,0,0
6/4/2020,Northern,Confirmed,229,22,3
6/4/2020,Northern,Probable,3,0,0
6/4/2020,Northwest,Confirmed,95,3,0
6/4/2020,Northwest,Probable,15,1,1
6/4/2020,Southwest,Confirmed,29,4,1
6/3/2020,Central,Confirmed,159,11,4
6/3/2020,Eastern,Confirmed,59,6,2
6/3/2020,Eastern,Probable,4,0,0
6/3/2020,Northern,Confirmed,248,20,12
6/3/2020,Northern,Probable,4,0,0
6/3/2020,Northwest,Confirmed,67,6,2
6/3/2020,Northwest,Probable,10,0,0
6/3/2020,Southwest,Confirmed,41,1,0
6/2/2020,Central,Confirmed,195,10,2
6/2/2020,Eastern,Confirmed,67,4,1
6/2/2020,Eastern,Probable,2,0,0
6/2/2020,Northern,Confirmed,241,24,10
6/2/2020,Northern,Probable,7,0,1
6/2/2020,Northwest,Confirmed,95,6,1
6/2/2020,Northwest,Probable,15,0,0
6/2/2020,Southwest,Confirmed,35,1,2
6/2/2020,Southwest,Probable,1,0,0
6/1/2020,Central,Confirmed,185,15,2
6/1/2020,Eastern,Confirmed,59,5,1
6/1/2020,Eastern,Probable,1,0,0
6/1/2020,Northern,Confirmed,380,23,8
6/1/2020,Northern,Probable,17,0,0
6/1/2020,Northwest,Confirmed,113,6,1
6/1/2020,Northwest,Probable,10,0,0
6/1/2020,Southwest,Confirmed,49,2,0
6/1/2020,Southwest,Probable,1,0,0
5/31/2020,Central,Confirmed,139,9,1
5/31/2020,Eastern,Confirmed,36,3,0
5/31/2020,Eastern,Probable,3,0,0
5/31/2020,Northern,Confirmed,174,21,6
5/31/2020,Northern,Probable,6,1,0
5/31/2020,Northwest,Confirmed,53,11,3
5/31/2020,Northwest,Probable,2,0,0
5/31/2020,Southwest,Confirmed,34,2,2
5/31/2020,Southwest,Probable,2,0,0
5/30/2020,Central,Confirmed,148,4,6
5/30/2020,Eastern,Confirmed,62,6,1
5/30/2020,Eastern,Probable,1,0,0
5/30/2020,Northern,Confirmed,189,22,7
5/30/2020,Northern,Probable,2,0,0
5/30/2020,Northwest,Confirmed,77,6,1
5/30/2020,Northwest,Probable,9,0,0
5/30/2020,Southwest,Confirmed,31,2,3
5/30/2020,Southwest,Probable,2,0,0
5/29/2020,Central,Confirmed,143,18,6
5/29/2020,Central,Probable,0,1,0
5/29/2020,Eastern,Confirmed,40,6,2
5/29/2020,Eastern,Probable,2,0,0
5/29/2020,Northern,Confirmed,351,23,7
5/29/2020,Northern,Probable,6,0,0
5/29/2020,Northwest,Confirmed,148,8,2
5/29/2020,Northwest,Probable,6,1,0
5/29/2020,Southwest,Confirmed,51,1,2
5/28/2020,Central,Confirmed,138,14,4
5/28/2020,Eastern,Confirmed,72,9,2
5/28/2020,Eastern,Probable,4,0,0
5/28/2020,Northern,Confirmed,398,27,11
5/28/2020,Northern,Probable,7,0,0
5/28/2020,Northwest,Confirmed,102,9,4
5/28/2020,Northwest,Probable,7,0,0
5/28/2020,Southwest,Confirmed,53,2,2
5/27/2020,Central,Confirmed,268,17,3
5/27/2020,Central,Probable,11,0,0
5/27/2020,Eastern,Confirmed,59,2,0
5/27/2020,Eastern,Probable,6,0,0
5/27/2020,Northern,Confirmed,334,24,11
5/27/2020,Northern,Probable,12,0,0
5/27/2020,Northwest,Confirmed,119,7,4
5/27/2020,Northwest,Probable,7,0,0
5/27/2020,Southwest,Confirmed,35,3,0
5/26/2020,Central,Confirmed,193,8,3
5/26/2020,Eastern,Confirmed,88,2,2
5/26/2020,Eastern,Probable,0,0,1
5/26/2020,Northern,Confirmed,375,36,19
5/26/2020,Northern,Probable,19,0,0
5/26/2020,Northwest,Confirmed,134,8,4
5/26/2020,Northwest,Probable,10,0,0
5/26/2020,Southwest,Confirmed,53,3,0
5/26/2020,Southwest,Probable,3,0,0
5/25/2020,Central,Confirmed,113,20,3
5/25/2020,Central,Probable,5,0,0
5/25/2020,Eastern,Confirmed,65,8,2
5/25/2020,Eastern,Probable,4,1,0
5/25/2020,Northern,Confirmed,394,34,4
5/25/2020,Northern,Probable,15,0,0
5/25/2020,Northwest,Confirmed,85,5,1
5/25/2020,Northwest,Probable,13,0,0
5/25/2020,Southwest,Confirmed,26,6,0
5/24/2020,Central,Confirmed,146,4,6
5/24/2020,Central,Probable,4,0,0
5/24/2020,Eastern,Confirmed,36,4,1
5/24/2020,Eastern,Probable,8,0,0
5/24/2020,Northern,Confirmed,296,36,17
5/24/2020,Northern,Probable,6,0,2
5/24/2020,Northwest,Confirmed,92,11,1
5/24/2020,Northwest,Probable,13,0,0
5/24/2020,Southwest,Confirmed,19,1,1
5/24/2020,Southwest,Probable,2,0,0
5/23/2020,Central,Confirmed,110,11,4
5/23/2020,Central,Probable,1,0,0
5/23/2020,Eastern,Confirmed,50,5,1
5/23/2020,Eastern,Probable,1,0,0
5/23/2020,Northern,Confirmed,333,41,12
5/23/2020,Northern,Probable,2,0,3
5/23/2020,Northwest,Confirmed,120,10,2
5/23/2020,Northwest,Probable,10,0,0
5/23/2020,Southwest,Confirmed,25,10,1
5/23/2020,Southwest,Probable,1,0,0
5/22/2020,Central,Confirmed,198,11,4
5/22/2020,Central,Probable,3,0,0
5/22/2020,Eastern,Confirmed,62,7,3
5/22/2020,Eastern,Probable,1,0,0
5/22/2020,Northern,Confirmed,456,46,12
5/22/2020,Northern,Probable,13,0,1
5/22/2020,Northwest,Confirmed,121,11,1
5/22/2020,Northwest,Probable,11,0,0
5/22/2020,Southwest,Confirmed,41,6,2
5/21/2020,Central,Confirmed,403,6,3
5/21/2020,Central,Probable,2,0,0
5/21/2020,Eastern,Confirmed,60,8,0
5/21/2020,Eastern,Probable,3,0,0
5/21/2020,Northern,Confirmed,467,40,14
5/21/2020,Northern,Probable,7,0,1
5/21/2020,Northwest,Confirmed,95,6,2
5/21/2020,Northwest,Probable,11,0,0
5/21/2020,Southwest,Confirmed,25,2,0
5/21/2020,Southwest,Probable,1,0,0
5/20/2020,Central,Confirmed,263,16,4
5/20/2020,Central,Probable,2,0,0
5/20/2020,Eastern,Confirmed,86,3,0
5/20/2020,Northern,Confirmed,580,40,12
5/20/2020,Northern,Probable,18,1,0
5/20/2020,Northwest,Confirmed,112,4,4
5/20/2020,Northwest,Probable,11,0,1
5/20/2020,Southwest,Confirmed,61,4,3
5/20/2020,Southwest,Probable,7,0,0
5/19/2020,Central,Confirmed,238,9,3
5/19/2020,Central,Probable,3,0,0
5/19/2020,Eastern,Confirmed,65,11,4
5/19/2020,Eastern,Probable,1,0,0
5/19/2020,Northern,Confirmed,577,32,17
5/19/2020,Northern,Probable,11,0,0
5/19/2020,Northwest,Confirmed,111,17,1
5/19/2020,Northwest,Probable,11,0,0
5/19/2020,Southwest,Confirmed,24,3,0
5/19/2020,Southwest,Probable,3,0,0
5/18/2020,Central,Confirmed,248,9,5
5/18/2020,Central,Probable,1,0,0
5/18/2020,Eastern,Confirmed,105,7,2
5/18/2020,Eastern,Probable,6,0,1
5/18/2020,Northern,Confirmed,687,39,13
5/18/2020,Northern,Probable,16,0,0
5/18/2020,Northwest,Confirmed,182,14,1
5/18/2020,Northwest,Probable,18,0,0
5/18/2020,Southwest,Confirmed,48,5,1
5/17/2020,Central,Confirmed,120,8,4
5/17/2020,Eastern,Confirmed,44,9,3
5/17/2020,Eastern,Probable,1,0,0
5/17/2020,Northern,Confirmed,377,45,18
5/17/2020,Northern,Probable,12,0,0
5/17/2020,Northwest,Confirmed,103,11,2
5/17/2020,Northwest,Probable,18,0,0
5/17/2020,Southwest,Confirmed,24,3,0
5/17/2020,Southwest,Probable,1,0,0
5/16/2020,Central,Confirmed,121,5,4
5/16/2020,Central,Probable,2,0,0
5/16/2020,Eastern,Confirmed,68,3,4
5/16/2020,Eastern,Probable,2,0,0
5/16/2020,Northern,Confirmed,442,38,15
5/16/2020,Northern,Probable,16,0,0
5/16/2020,Northwest,Confirmed,143,7,4
5/16/2020,Northwest,Probable,7,0,0
5/16/2020,Southwest,Confirmed,17,3,0
5/16/2020,Southwest,Probable,1,0,0
5/15/2020,Central,Confirmed,185,10,5
5/15/2020,Central,Probable,2,0,0
5/15/2020,Eastern,Confirmed,58,5,4
5/15/2020,Northern,Confirmed,632,48,14
5/15/2020,Northern,Probable,16,0,0
5/15/2020,Northwest,Confirmed,168,9,3
5/15/2020,Northwest,Probable,14,1,0
5/15/2020,Southwest,Confirmed,37,1,1
5/14/2020,Central,Confirmed,149,11,1
5/14/2020,Central,Probable,4,0,0
5/14/2020,Eastern,Confirmed,78,5,3
5/14/2020,Eastern,Probable,4,0,0
5/14/2020,Northern,Confirmed,538,48,12
5/14/2020,Northern,Probable,11,1,2
5/14/2020,Northwest,Confirmed,110,7,0
5/14/2020,Northwest,Probable,3,0,0
5/14/2020,Southwest,Confirmed,37,0,0
5/13/2020,Central,Confirmed,190,4,5
5/13/2020,Central,Probable,0,0,1
5/13/2020,Eastern,Confirmed,85,7,4
5/13/2020,Northern,Confirmed,555,43,7
5/13/2020,Northern,Probable,20,0,2
5/13/2020,Northwest,Confirmed,118,4,1
5/13/2020,Northwest,Probable,6,0,0
5/13/2020,Southwest,Confirmed,27,2,0
5/13/2020,Southwest,Probable,1,0,0
5/12/2020,Central,Confirmed,224,7,1
5/12/2020,Central,Probable,2,0,0
5/12/2020,Eastern,Confirmed,123,6,4
5/12/2020,Eastern,Probable,3,1,0
5/12/2020,Northern,Confirmed,548,52,15
5/12/2020,Northern,Probable,16,1,0
5/12/2020,Northwest,Confirmed,120,7,1
5/12/2020,Northwest,Probable,15,1,0
5/12/2020,Southwest,Confirmed,46,1,1
5/12/2020,Southwest,Probable,1,0,0
5/11/2020,Central,Confirmed,149,11,3
5/11/2020,Eastern,Confirmed,67,8,3
5/11/2020,Eastern,Probable,3,0,0
5/11/2020,Northern,Confirmed,681,58,27
5/11/2020,Northern,Probable,17,1,1
5/11/2020,Northwest,Confirmed,120,12,5
5/11/2020,Northwest,Probable,7,0,0
5/11/2020,Southwest,Confirmed,19,1,2
5/11/2020,Southwest,Probable,1,0,0
5/10/2020,Central,Confirmed,112,5,3
5/10/2020,Eastern,Confirmed,41,8,2
5/10/2020,Eastern,Probable,1,0,0
5/10/2020,Northern,Confirmed,400,42,21
5/10/2020,Northern,Probable,11,0,0
5/10/2020,Northwest,Confirmed,106,9,3
5/10/2020,Northwest,Probable,11,0,1
5/10/2020,Southwest,Confirmed,17,4,0
5/10/2020,Southwest,Probable,1,0,0
5/9/2020,Central,Confirmed,79,6,1
5/9/2020,Central,Probable,1,0,0
5/9/2020,Eastern,Confirmed,68,5,6
5/9/2020,Eastern,Probable,1,0,0
5/9/2020,Northern,Confirmed,360,47,14
