Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
5/18/2020,Confirmed,103,7,2,Eastern
5/21/2020,Confirmed,411,6,1,Central
3/12/2020,Probable,3,0,0,Northern
4/16/2020,Probable,15,0,0,Northern
3/30/2020,Probable,11,0,0,Northern
6/30/2020,Confirmed,2,0,0,Southwest
5/21/2020,Confirmed,25,2,0,Southwest
5/21/2020,Confirmed,472,36,14,Northern
3/23/2020,Probable,1,0,0,Eastern
6/19/2020,Probable,7,0,0,Northwest
6/4/2020,Confirmed,30,4,1,Southwest
4/21/2020,Probable,1,0,0,Central
6/12/2020,Confirmed,36,0,1,Southwest
4/13/2020,Probable,33,1,3,Northern
6/4/2020,Probable,12,0,1,Northwest
4/15/2020,Probable,1,0,0,Southwest
5/19/2020,Confirmed,117,16,1,Northwest
6/28/2020,Confirmed,6,2,0,Northwest
5/1/2020,Probable,37,0,0,Northern
5/22/2020,Probable,2,0,0,Eastern
5/13/2020,Confirmed,27,2,0,Southwest
4/26/2020,Confirmed,58,3,0,Southwest
6/24/2020,Probable,8,0,0,Northern
5/2/2020,Confirmed,92,7,6,Central
5/5/2020,Confirmed,151,8,8,Eastern
5/7/2020,Probable,17,1,1,Northern
4/3/2020,Probable,3,0,0,Northwest
3/14/2020,Confirmed,12,0,0,Central
3/11/2020,Confirmed,19,2,0,Eastern
4/23/2020,Probable,1,0,0,Central
3/25/2020,Probable,1,0,0,Eastern
3/1/2020,Confirmed,5,0,0,Eastern
2/29/2020,Confirmed,1,0,0,Central
2/25/2020,Probable,2,0,0,Eastern
3/30/2020,Probable,8,0,0,Northwest
3/4/2020,Confirmed,8,0,0,Northern
6/5/2020,Confirmed,48,2,1,Southwest
4/18/2020,Probable,15,1,0,Northern
6/13/2020,Confirmed,36,1,0,Southwest
5/16/2020,Confirmed,66,3,4,Eastern
5/15/2020,Confirmed,178,7,5,Central
2/24/2020,Confirmed,4,0,0,Northern
4/29/2020,Confirmed,93,5,3,Northwest
