Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
6/21/2020,Piedmont,0-9,16,0,0
6/21/2020,Central Shenandoah,30-39,292,6,0
6/21/2020,Hampton,50-59,44,8,1
6/21/2020,Peninsula,70-79,84,38,11
6/21/2020,Arlington,20-29,403,20,0
6/21/2020,West Piedmont,70-79,21,6,3
6/21/2020,Richmond,20-29,399,13,0
6/21/2020,Roanoke,0-9,9,0,0
6/21/2020,Hampton,30-39,45,3,0
6/21/2020,Thomas Jefferson,30-39,157,5,0
6/21/2020,Western Tidewater,40-49,90,5,1
6/21/2020,Richmond,50-59,263,39,1
6/21/2020,Western Tidewater,50-59,129,12,2
6/21/2020,Chickahominy,40-49,80,11,1
6/21/2020,Three Rivers,80+,29,5,3
6/21/2020,Rappahannock,30-39,450,20,0
6/21/2020,Lord Fairfax,60-69,205,41,10
6/21/2020,Western Tidewater,0-9,5,0,0
6/21/2020,Rappahannock,70-79,93,26,12
6/21/2020,Prince William,80+,217,73,62
6/21/2020,Hampton,80+,5,3,2
6/21/2020,Alexandria,80+,86,28,22
6/21/2020,Mount Rogers,60-69,73,6,0
6/21/2020,Eastern Shore,60-69,172,26,8
6/21/2020,Lord Fairfax,70-79,115,31,14
6/21/2020,New River,30-39,22,1,0
6/21/2020,Chesapeake,10-19,32,1,0
6/21/2020,Hampton,40-49,41,3,0
6/21/2020,Peninsula,Missing,7,0,0
6/21/2020,Henrico,70-79,201,44,34
6/21/2020,Western Tidewater,20-29,62,2,0
6/21/2020,Peninsula,0-9,32,0,0
6/21/2020,Loudoun,40-49,742,43,1
6/21/2020,Pittsylvania-Danville,30-39,19,1,0
6/21/2020,Loudoun,20-29,599,6,0
6/21/2020,Crater,60-69,191,35,10
6/21/2020,Loudoun,80+,185,48,63
6/21/2020,Arlington,80+,202,82,65
6/21/2020,Virginia Beach,10-19,45,0,0
6/21/2020,Mount Rogers,80+,68,23,13
6/21/2020,Eastern Shore,80+,50,21,18
6/21/2020,Crater,10-19,42,0,0
6/21/2020,Lenowisco,30-39,4,1,1
6/21/2020,Norfolk,Missing,7,1,0
6/21/2020,Henrico,Missing,33,1,1
6/21/2020,New River,40-49,26,1,0
6/21/2020,Central Virginia,0-9,5,0,0
6/21/2020,New River,70-79,15,8,3
6/21/2020,Loudoun,0-9,134,3,0
6/21/2020,Central Virginia,70-79,20,4,2
6/21/2020,Southside,0-9,3,0,0
6/21/2020,Three Rivers,40-49,136,11,2
6/21/2020,Chickahominy,30-39,79,2,0
6/21/2020,Central Shenandoah,60-69,236,39,8
6/21/2020,Western Tidewater,60-69,116,13,6
6/21/2020,Cumberland Plateau,30-39,5,0,0
6/21/2020,Portsmouth,10-19,13,0,0
6/21/2020,Chesterfield,Missing,64,0,0
6/21/2020,Alexandria,40-49,412,35,0
6/21/2020,Thomas Jefferson,70-79,58,19,2
6/21/2020,Three Rivers,30-39,136,3,0
6/21/2020,Western Tidewater,70-79,81,20,16
6/21/2020,Arlington,60-69,276,77,19
6/21/2020,Cumberland Plateau,10-19,13,0,0
6/21/2020,West Piedmont,30-39,58,1,0
6/21/2020,Peninsula,10-19,42,1,0
6/21/2020,Norfolk,0-9,23,0,0
6/21/2020,Cumberland Plateau,40-49,6,0,0
6/21/2020,Eastern Shore,10-19,57,1,0
6/21/2020,Mount Rogers,10-19,47,0,0
6/21/2020,Rappahannock Rapidan,0-9,70,1,0
6/21/2020,Three Rivers,0-9,9,1,0
6/21/2020,Henrico,40-49,351,23,1
6/21/2020,Alexandria,50-59,293,47,9
6/21/2020,Arlington,0-9,43,2,0
6/21/2020,Chickahominy,Missing,12,0,0
6/21/2020,New River,20-29,39,0,0
6/21/2020,Virginia Beach,20-29,195,3,0
6/21/2020,Chesapeake,50-59,117,18,1
6/21/2020,Alleghany,80+,24,8,5
6/21/2020,Fairfax,10-19,751,22,0
6/21/2020,Chesapeake,60-69,96,22,4
6/21/2020,West Piedmont,Missing,0,0,0
6/21/2020,Peninsula,80+,50,24,15
6/21/2020,Crater,40-49,197,13,1
6/21/2020,Chesapeake,40-49,121,17,0
6/21/2020,Thomas Jefferson,20-29,123,1,0
6/21/2020,Lord Fairfax,20-29,319,4,0
6/21/2020,Norfolk,20-29,187,2,0
6/21/2020,Arlington,30-39,439,41,0
6/21/2020,West Piedmont,60-69,42,5,0
6/21/2020,Henrico,50-59,295,32,8
6/21/2020,West Piedmont,50-59,83,10,1
6/21/2020,Cumberland Plateau,20-29,2,0,0
6/21/2020,Alexandria,70-79,100,37,15
6/21/2020,Portsmouth,20-29,75,3,0
6/21/2020,Western Tidewater,30-39,95,5,0
6/21/2020,Central Shenandoah,0-9,49,0,0
6/21/2020,Henrico,80+,307,65,68
6/21/2020,Alexandria,0-9,121,2,0
6/21/2020,Pittsylvania-Danville,40-49,39,5,0
6/21/2020,Henrico,20-29,326,14,0
6/21/2020,Roanoke,60-69,27,3,0
6/21/2020,Peninsula,30-39,136,7,1
6/21/2020,Alleghany,60-69,35,7,1
6/21/2020,Prince William,70-79,275,74,38
6/21/2020,Norfolk,60-69,72,24,1
6/21/2020,Southside,40-49,41,5,0
6/21/2020,Chesterfield,30-39,544,4,0
6/21/2020,Loudoun,70-79,136,39,13
6/21/2020,Central Virginia,40-49,44,0,0
6/21/2020,New River,Missing,0,0,0
6/21/2020,Chickahominy,20-29,77,0,0
6/21/2020,New River,0-9,3,0,0
6/21/2020,Cumberland Plateau,0-9,0,0,0
6/21/2020,Three Rivers,70-79,32,8,6
6/21/2020,Rappahannock Rapidan,40-49,285,19,2
6/21/2020,Hampton,0-9,10,0,0
6/21/2020,Piedmont,50-59,174,19,0
6/21/2020,Rappahannock,20-29,382,10,0
6/21/2020,Crater,Missing,7,0,0
6/21/2020,Arlington,50-59,370,66,6
6/21/2020,Piedmont,70-79,60,17,2
6/21/2020,Alexandria,60-69,189,44,2
6/21/2020,Portsmouth,30-39,86,4,0
6/21/2020,Lenowisco,20-29,6,0,0
6/21/2020,Central Virginia,30-39,50,2,0
6/21/2020,Norfolk,10-19,43,1,0
6/21/2020,New River,10-19,10,0,0
6/21/2020,Central Virginia,20-29,62,2,0
6/21/2020,Rappahannock,50-59,350,42,4
6/21/2020,Rappahannock,60-69,199,43,5
6/21/2020,Piedmont,20-29,148,2,0
6/21/2020,New River,60-69,21,2,0
6/21/2020,Roanoke,40-49,45,1,0
6/21/2020,Three Rivers,20-29,107,4,0
6/21/2020,Rappahannock,40-49,411,35,2
6/21/2020,Portsmouth,80+,20,7,3
6/21/2020,Central Shenandoah,Missing,0,0,0
6/21/2020,Eastern Shore,70-79,47,15,9
6/21/2020,Mount Rogers,70-79,56,24,9
6/21/2020,Cumberland Plateau,70-79,2,0,0
6/21/2020,Piedmont,10-19,24,0,0
6/21/2020,Southside,20-29,37,2,0
6/21/2020,Chesterfield,50-59,389,29,4
6/21/2020,Rappahannock Rapidan,20-29,265,4,0
6/21/2020,Cumberland Plateau,60-69,5,1,0
6/21/2020,Roanoke,70-79,10,3,0
6/21/2020,Central Shenandoah,20-29,350,5,0
6/21/2020,Pittsylvania-Danville,80+,3,2,2
6/21/2020,Virginia Beach,80+,84,28,18
6/21/2020,Central Shenandoah,50-59,340,29,1
6/21/2020,Lenowisco,Missing,0,0,0
6/21/2020,Fairfax,30-39,2618,159,4
6/21/2020,Lenowisco,60-69,5,4,2
6/21/2020,Loudoun,30-39,669,21,0
6/21/2020,West Piedmont,80+,13,6,0
6/21/2020,Roanoke,80+,38,3,10
6/21/2020,Fairfax,40-49,2540,231,8
6/21/2020,Thomas Jefferson,80+,73,23,14
6/21/2020,Roanoke,20-29,64,2,0
6/21/2020,Henrico,60-69,273,44,26
6/21/2020,Lord Fairfax,40-49,292,15,1
6/21/2020,Western Tidewater,Missing,5,0,0
6/21/2020,Chickahominy,60-69,73,18,6
6/21/2020,Chesapeake,20-29,103,3,0
6/21/2020,Three Rivers,Missing,1,0,0
6/21/2020,Lenowisco,10-19,3,0,0
6/21/2020,Chesapeake,0-9,19,1,0
6/21/2020,Peninsula,50-59,129,18,2
6/21/2020,Cumberland Plateau,Missing,0,0,0
6/21/2020,Peninsula,60-69,118,28,3
6/21/2020,Lord Fairfax,30-39,312,11,1
6/21/2020,Virginia Beach,Missing,25,0,0
6/21/2020,Arlington,40-49,413,46,4
6/21/2020,West Piedmont,10-19,33,0,0
6/21/2020,Chickahominy,70-79,51,19,5
6/21/2020,Pittsylvania-Danville,20-29,15,0,0
6/21/2020,Loudoun,50-59,574,45,1
6/21/2020,Richmond,30-39,429,23,1
6/21/2020,Thomas Jefferson,Missing,1,0,0
6/21/2020,Rappahannock Rapidan,80+,20,12,4
6/21/2020,Lord Fairfax,Missing,2,0,0
6/21/2020,Cumberland Plateau,50-59,4,1,0
6/21/2020,Loudoun,Missing,58,0,1
6/21/2020,Southside,50-59,54,7,0
6/21/2020,Chesterfield,20-29,429,5,0
6/21/2020,Norfolk,70-79,26,16,3
6/21/2020,Alleghany,10-19,18,0,0
6/21/2020,Crater,80+,86,16,2
6/21/2020,Portsmouth,Missing,8,0,0
6/21/2020,Western Tidewater,10-19,14,0,0
6/21/2020,Chesterfield,10-19,248,0,0
6/21/2020,Southside,60-69,52,12,3
6/21/2020,West Piedmont,20-29,49,1,0
6/21/2020,Arlington,70-79,171,72,32
6/21/2020,Chickahominy,50-59,110,22,1
6/21/2020,Alleghany,40-49,42,1,0
6/21/2020,Prince William,50-59,1345,174,13
6/21/2020,Mount Rogers,0-9,32,1,0
6/21/2020,Eastern Shore,0-9,17,1,0
6/21/2020,Thomas Jefferson,60-69,71,17,2
6/21/2020,Pittsylvania-Danville,70-79,20,9,0
6/21/2020,Chesterfield,80+,130,26,36
6/21/2020,Richmond,0-9,77,4,0
6/21/2020,Chesapeake,80+,42,14,9
6/21/2020,Peninsula,40-49,111,7,1
6/21/2020,Henrico,0-9,98,1,0
6/21/2020,Lenowisco,80+,0,0,0
6/21/2020,Piedmont,60-69,131,19,2
6/21/2020,West Piedmont,0-9,9,0,0
6/21/2020,Rappahannock Rapidan,70-79,35,12,7
6/21/2020,Central Shenandoah,70-79,116,38,12
6/21/2020,Chesapeake,30-39,141,6,0
6/21/2020,Chickahominy,0-9,10,0,0
6/21/2020,Prince William,0-9,297,7,0
6/21/2020,Eastern Shore,50-59,276,18,5
6/21/2020,Mount Rogers,50-59,80,5,1
6/21/2020,Loudoun,10-19,253,0,0
6/21/2020,Southside,80+,78,12,12
6/21/2020,Central Virginia,80+,14,2,0
6/21/2020,Rappahannock,Missing,18,0,0
6/21/2020,Rappahannock Rapidan,30-39,284,14,1
6/21/2020,New River,50-59,29,4,0
6/21/2020,Richmond,80+,38,16,9
6/21/2020,Mount Rogers,20-29,96,0,0
6/21/2020,Eastern Shore,20-29,197,6,0
6/21/2020,Hampton,10-19,14,0,0
6/21/2020,Portsmouth,0-9,7,1,0
6/21/2020,Crater,70-79,124,27,6
6/21/2020,Chesterfield,40-49,489,15,2
6/21/2020,Alexandria,Missing,11,0,0
6/21/2020,Southside,30-39,42,0,0
6/21/2020,Prince William,Missing,135,2,0
6/21/2020,Hampton,60-69,35,11,2
6/21/2020,Fairfax,20-29,2076,66,2
6/21/2020,Thomas Jefferson,0-9,31,1,0
6/21/2020,Lenowisco,40-49,7,2,0
6/21/2020,Central Virginia,10-19,18,1,0
6/21/2020,Lenowisco,70-79,5,4,1
6/21/2020,Henrico,10-19,124,3,0
6/21/2020,Mount Rogers,30-39,93,4,0
6/21/2020,Eastern Shore,30-39,234,8,0
6/21/2020,Chesterfield,0-9,90,0,0
6/21/2020,Central Shenandoah,10-19,102,1,0
6/21/2020,Crater,0-9,20,1,0
6/21/2020,Fairfax,70-79,653,224,93
6/21/2020,Rappahannock,80+,81,26,10
6/21/2020,Alexandria,10-19,159,3,0
6/21/2020,Portsmouth,40-49,57,6,0
6/21/2020,Three Rivers,50-59,84,6,0
6/21/2020,Alleghany,Missing,1,0,0
6/21/2020,Alexandria,30-39,522,28,0
6/21/2020,Southside,Missing,0,0,0
6/21/2020,Portsmouth,60-69,46,13,4
6/21/2020,Roanoke,30-39,63,0,0
6/21/2020,Three Rivers,60-69,68,10,0
6/21/2020,Fairfax,50-59,2141,273,26
6/21/2020,Portsmouth,50-59,66,17,2
6/21/2020,Chickahominy,80+,82,32,21
6/21/2020,Rappahannock Rapidan,50-59,200,22,2
6/21/2020,Fairfax,80+,787,285,266
6/21/2020,Hampton,Missing,5,0,0
6/21/2020,Cumberland Plateau,80+,0,0,0
6/21/2020,Alleghany,50-59,54,5,1
6/21/2020,Prince William,40-49,1843,135,6
6/21/2020,Fairfax,Missing,148,3,0
6/21/2020,Virginia Beach,40-49,150,19,1
6/21/2020,Richmond,Missing,17,0,0
6/21/2020,Norfolk,40-49,111,12,0
6/21/2020,Piedmont,80+,36,12,3
6/21/2020,Virginia Beach,60-69,129,16,1
6/21/2020,West Piedmont,40-49,65,7,1
6/21/2020,Arlington,10-19,91,5,0
6/21/2020,Lenowisco,0-9,3,0,0
6/21/2020,Pittsylvania-Danville,50-59,31,9,0
6/21/2020,Virginia Beach,50-59,132,13,0
6/21/2020,Chesapeake,Missing,7,1,0
6/21/2020,Central Shenandoah,80+,90,21,11
6/21/2020,Thomas Jefferson,40-49,129,5,0
6/21/2020,Rappahannock Rapidan,60-69,106,16,2
6/21/2020,Norfolk,30-39,141,10,0
6/21/2020,Rappahannock Rapidan,Missing,6,0,0
6/21/2020,Lord Fairfax,80+,128,30,34
6/21/2020,Three Rivers,10-19,22,0,0
6/21/2020,Piedmont,40-49,178,8,0
6/21/2020,Norfolk,80+,15,7,3
6/21/2020,Peninsula,20-29,140,1,0
6/21/2020,Norfolk,50-59,112,17,0
6/21/2020,Thomas Jefferson,50-59,97,9,1
6/21/2020,Richmond,70-79,73,33,11
6/21/2020,Chesterfield,70-79,115,19,14
6/21/2020,Piedmont,30-39,180,2,0
6/21/2020,Prince William,30-39,1623,89,2
6/21/2020,Alleghany,20-29,70,1,0
6/21/2020,Alleghany,0-9,7,0,0
6/21/2020,Mount Rogers,40-49,86,1,0
6/21/2020,Eastern Shore,40-49,245,10,2
6/21/2020,Central Virginia,60-69,41,4,1
6/21/2020,Richmond,10-19,161,2,0
6/21/2020,Pittsylvania-Danville,60-69,21,7,1
6/21/2020,Pittsylvania-Danville,Missing,0,0,0
6/21/2020,Chesterfield,60-69,252,32,9
6/21/2020,Southside,10-19,5,0,0
6/21/2020,New River,80+,12,4,1
6/21/2020,Central Virginia,50-59,49,2,1
6/21/2020,Hampton,70-79,15,7,0
6/21/2020,Pittsylvania-Danville,10-19,7,0,0
6/21/2020,Richmond,60-69,184,43,6
